location_id,time,weather_code,rain_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,et0_fao_evapotranspiration,precipitation_sum,daylight_duration,wind_gusts_10m_max,wind_direction_10m_dominant,showers_sum,location_id_effettivo,time,weather_code_effettivo,temperature_2m_max_effettivo,temperature_2m_min_effettivo,rain_sum_effettivo,precipitation_sum_effettivo,wind_speed_10m_max_effettivo,et0_fao_evapotranspiration_effettivo,daylight_duration_effettivo,wind_gusts_10m_max_effettivo,wind_direction_10m_dominant_effettivo
7,2025-03-26,3,0.00,17.0,13.4,18.3,2.53,0.00,44615.79,31.7,339,0.00,7,2025-03-26,95,15.2,12.3,5.50,18.00,9.9,0.72,44615.79,27.4,359
7,2025-03-27,3,0.00,16.4,12.7,14.3,3.19,0.00,44762.25,28.4,325,0.00,7,2025-03-27,80,14.8,11.5,0.00,0.90,11.5,2.54,44762.25,34.6,18
8,2025-03-21,45,0.00,12.0,5.6,10.5,1.65,0.00,43983.39,18.7,59,0.00,8,2025-03-21,45,12.0,5.6,0.00,0.00,10.5,1.66,43983.39,18.7,60
8,2025-03-22,80,13.70,11.7,9.4,17.8,0.58,14.20,44176.88,34.2,45,0.30,8,2025-03-22,80,11.2,9.5,6.10,6.40,18.6,0.69,44176.88,32.0,53
8,2025-03-23,80,6.00,17.0,10.6,19.1,1.81,7.10,44369.84,35.3,157,0.90,8,2025-03-23,80,16.5,10.7,5.70,6.00,15.3,1.80,44369.84,27.0,111
8,2025-03-24,45,0.00,15.9,8.8,9.9,2.04,0.10,44562.16,23.0,96,0.00,8,2025-03-24,80,16.0,11.1,0.00,0.50,13.3,2.47,44562.16,22.3,174
8,2025-03-25,61,0.90,19.6,7.5,13.5,2.50,0.90,44753.71,30.6,68,0.00,8,2025-03-25,80,15.2,9.6,0.50,0.50,8.2,1.71,44753.71,17.6,202
8,2025-03-26,63,16.20,16.3,10.9,14.2,1.57,17.70,44944.36,34.2,37,1.50,8,2025-03-26,80,18.7,9.7,0.00,0.00,26.1,2.84,44944.36,44.6,33
8,2025-03-27,2,0.00,17.1,8.3,13.3,2.91,0.00,45133.98,27.7,216,0.00,8,2025-03-27,61,17.7,11.5,0.70,0.70,23.6,2.31,45133.98,39.6,57
9,2025-03-21,3,0.00,17.1,3.4,6.4,3.10,0.00,43903.66,14.8,215,0.00,9,2025-03-21,45,12.0,5.6,0.00,0.00,10.5,1.66,43983.39,18.7,60
9,2025-03-22,80,0.00,17.2,7.2,24.4,2.51,0.20,44065.67,50.8,170,0.20,9,2025-03-22,80,11.2,9.5,6.10,6.40,18.6,0.69,44176.88,32.0,53
9,2025-03-23,3,0.00,18.1,13.5,42.4,2.76,0.00,44227.23,94.0,156,0.00,9,2025-03-23,80,16.5,10.7,5.70,6.00,15.3,1.80,44369.84,27.0,111
9,2025-03-24,80,2.70,17.5,15.2,31.9,1.68,7.10,44388.23,69.8,158,4.00,9,2025-03-24,80,16.0,11.1,0.00,0.50,13.3,2.47,44562.16,22.3,174
9,2025-03-25,61,8.40,15.3,13.9,27.8,1.24,11.50,44548.58,61.9,146,3.10,9,2025-03-25,80,15.2,9.6,0.50,0.50,8.2,1.71,44753.71,17.6,202
9,2025-03-26,95,0.00,17.1,13.4,27.4,1.51,7.20,44708.16,49.7,148,6.90,9,2025-03-26,80,18.7,9.7,0.00,0.00,26.1,2.84,44944.36,44.6,33
9,2025-03-27,80,0.00,15.5,9.5,20.7,2.33,1.50,44866.87,37.1,306,1.50,9,2025-03-27,61,17.7,11.5,0.70,0.70,23.6,2.31,45133.98,39.6,57
